ID,LABEL,15,16,17a,17e,18,19,20,21,22,s,p,m,sp,sm,pm,spm
100,False,0.37,0.40,0.41,0.39,0.41,0.24,0.14,0.14,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
105,True,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
108,False,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,0.33,0.25,0.16,0.35,0.17
109,False,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
110,False,1.00,1.00,1.00,1.00,1.00,1.00,0.59,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
112,False,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
113,False,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
118,True,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
120,True,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.01,0.00,0.02,0.01
125,True,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,0.33,0.25,0.16,0.35,0.17
127,True,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
130,False,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
136,True,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
138,False,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
141,True,1.00,1.00,1.00,1.00,1.00,1.00,0.59,0.59,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
143,True,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
149,True,1.00,1.00,1.00,1.00,1.00,1.00,0.59,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
154,False,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.59,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
160,True,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.01,0.00,0.02,0.01
161,False,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.01,0.00,0.02,0.01
162,True,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
166,False,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
168,True,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
170,True,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
172,True,0.37,0.40,0.41,0.39,0.41,0.24,0.14,0.14,0.39,0.24,1.00,0.33,0.25,0.16,0.35,0.17
173,True,0.37,0.40,0.41,0.39,0.41,0.24,0.14,0.55,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
189,True,0.37,0.40,0.41,0.39,0.41,0.24,0.55,0.55,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
195,False,0.37,0.40,0.41,0.39,0.41,0.24,0.14,0.14,0.39,0.24,1.00,1.00,0.25,0.48,1.00,0.49
