ID,LABEL,15,16,17a,17e,18,19,20,21,22,s,p,m,sp,sm,pm,spm
1933,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
6032,False,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
7429,True,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
8404,False,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11538,True,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
19068,True,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
35804,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,0.33,0.24,0.16,0.33,0.16
46810,False,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,0.33,0.24,0.16,0.33,0.16
54298,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
58396,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
70041,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
80212,False,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83527,False,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,0.33,0.24,0.16,0.33,0.16
85093,False,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,0.33,0.24,0.16,0.33,0.16
85923,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
88894,False,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
89521,False,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,0.33,0.24,0.16,0.33,0.16
106308,False,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118448,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.14,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
119227,False,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124578,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
125577,False,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
130048,False,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132874,True,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
134126,False,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134850,False,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
163803,True,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
164883,True,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
175438,True,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
179831,False,0.36,0.45,0.46,0.38,0.40,0.23,0.56,0.55,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
202314,False,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
204575,False,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,0.33,0.24,0.16,0.33,0.16
219675,False,0.36,0.45,0.46,0.38,0.40,0.23,0.13,0.14,0.38,0.24,1.00,1.00,0.24,0.49,1.00,0.49
